block,seq,yaw
right45@090,640,28.8920
right45@090,641,27.8530
right45@090,642,28.6450
right45@090,643,29.2560
right45@090,644,29.1500
right45@090,645,30.5750
right45@090,646,28.3660
right45@090,647,28.3700
right45@090,648,27.6860
right45@090,649,28.8870
right45@090,650,28.5670
right45@090,651,29.5270
right45@090,652,29.2870
right45@090,653,29.2800
right45@090,654,28.5740
right45@090,655,28.3840
right45@090,656,29.2950
right45@090,657,29.2870
right45@090,658,28.7870
right45@090,659,29.7850
left60@090,660,-37.7090
left60@090,661,-34.7190
left60@090,662,-34.7900
left60@090,663,-37.6900
left60@090,664,-34.1940
left60@090,665,-36.5500
left60@090,666,-37.9190
left60@090,667,-33.3670
left60@090,668,-38.0650
left60@090,669,-38.7250
left60@090,670,-35.8100
left60@090,671,-37.3820
left60@090,672,-38.4100
left60@090,673,-38.5990
left60@090,674,-37.9270
left60@090,675,-36.8710
left60@090,676,-36.4380
left60@090,677,-37.2020
left60@090,678,-34.9100
left60@090,679,-32.9470
left60@090,680,-31.6010
left60@090,681,-31.5700
left60@090,682,-31.4570
left60@090,683,-31.6620
left60@090,684,-29.3860
left60@090,685,-29.7570
left60@090,686,-30.5900
left60@090,687,-30.9150
left60@090,688,-29.7880
left60@090,689,-29.6380
left60@090,690,-30.6630
left60@090,691,-31.3490
left60@090,692,-30.3990
left60@090,693,-29.8630
left60@090,694,-31.4000
left60@090,695,-32.4020
left60@090,696,-31.4750
left60@090,697,-31.8650
left60@090,698,-31.0480
left60@090,699,-32.9020
left60@090,700,-31.1880
left60@090,701,-31.2050
left60@090,702,-30.5690
left60@090,703,-30.3310
left60@090,704,-33.6330
left60@090,705,-32.0770
left60@090,706,-32.1400
left60@090,707,-33.0740
left60@090,708,-32.4200
left60@090,709,-32.8450
left60@090,710,-30.4170
left60@090,711,-30.4710
left60@090,712,-33.4640
left60@090,713,-32.9270
left60@090,714,-32.5520
left60@090,715,-32.0140
left60@090,716,-32.1200
left60@090,717,-32.2900
left60@090,718,-32.9370
left60@090,719,-33.2380
left60@090,720,-30.8970
left60@090,721,-33.4310
left60@090,722,-32.0660
left60@090,723,-33.0370
left60@090,724,-33.0420
left60@090,725,-32.7060
left60@090,726,-33.3500
left60@090,727,-32.1820
left60@090,728,-31.4500
left60@090,729,-52.7160
left60@090,730,-33.3580
left60@090,731,-31.7310
left60@090,732,-34.4770
left60@090,733,-32.8180
left60@090,734,-33.6550
left60@090,735,-32.8160
left60@090,736,-32.8080
left60@090,737,-34.0790
left60@090,738,-33.3840
left60@090,739,-33.3660
left60@090,740,-30.3480
left60@090,741,-33.0730
left60@090,742,-32.8410
left60@090,743,-34.9550
left60@090,744,-30.3300
left60@090,745,-34.6300
left60@090,746,-34.7660
left60@090,747,-33.6810
left60@090,748,-52.5240
left60@090,749,-33.1590
left60@090,750,-31.9920
left60@090,751,-33.3110
left60@090,752,-33.3290
left60@090,753,-32.7620
left60@090,754,-33.4100
left60@090,755,-35.3460
left60@090,756,-32.0940
left60@090,757,-32.0990
left60@090,758,-34.6330
left60@090,759,-32.1220
left60@090,760,-34.4230
left60@090,761,-34.9440
left60@090,762,-33.3300
left60@090,763,-33.7300
left60@090,764,-34.2980
left60@090,765,-33.7140
left60@090,766,-34.0030
left60@090,767,-33.6920
left60@090,768,-33.0270
left60@090,769,-34.2990
left60@090,770,-35.0640
left60@090,771,-32.4860
left60@090,772,-32.6510
left60@090,773,-33.8690
left60@090,774,-32.9230
left60@090,775,-33.1330
left60@090,776,-32.4980
left60@090,777,-34.5930
left60@090,778,-35.7070
left60@090,779,-35.9150
left60@090,780,-34.4060
left60@090,781,-34.6350
left60@090,782,-33.9950
left60@090,783,-33.3480
left60@090,784,-31.8160
left60@090,785,-33.1040
left60@090,786,-33.6650
left60@090,787,-34.3740
left60@090,788,-33.7710
left60@090,789,-34.0780
left60@090,790,-33.8270
right60@090,791,35.2670
right60@090,792,34.6160
right60@090,793,32.4770
right60@090,794,32.4570
right60@090,795,30.8960
right60@090,796,31.3680
right60@090,797,29.8660
right60@090,798,30.2060
right60@090,799,29.1430
right60@090,800,31.8000
right60@090,801,33.5670
right60@090,802,33.5850
right60@090,803,33.5900
right60@090,804,32.6910
right60@090,805,32.3460
right60@090,806,32.5760
right60@090,807,32.0550
right60@090,808,32.5490
right60@090,809,35.6780
right60@090,810,31.9240
right60@090,811,33.6760
right60@090,812,33.5260
right60@090,813,29.7030
right60@090,814,30.6050
right60@090,815,34.4210
right60@090,816,34.3700
right60@090,817,35.2530
right60@090,818,35.8350
right60@090,819,36.5480
right60@090,820,35.1650
right60@090,821,36.4600
right60@090,822,37.4210
right60@090,823,34.8200
right60@090,824,34.7990
right60@090,825,37.8560
right60@090,826,34.8550
right60@090,827,35.6680
right60@090,828,35.2070
right60@090,829,34.4830
right60@090,830,34.4750
right60@090,831,33.3590
right60@090,832,35.2730
right60@090,833,34.1020
right60@090,834,32.5250
right60@090,835,35.9120
right60@090,836,33.0280
right60@090,837,35.1700
right60@090,838,35.8880
right60@090,839,33.7160
right60@090,840,34.6850
right60@090,841,33.7480
right60@090,842,33.7660
right60@090,843,33.7580
right60@090,844,33.1480
right60@090,845,34.9400
right60@090,846,35.2020
right60@090,847,35.9230
right60@090,848,34.2000
right60@090,849,33.9390
right60@090,850,35.1840
right60@090,851,33.4880
right60@090,852,33.0640
right60@090,853,35.1870
right60@090,854,34.6560
right60@090,855,35.1250
right60@090,856,34.3670
right60@090,857,35.5560
right60@090,858,34.6040
right60@090,859,35.2690
right60@090,860,34.5650
right60@090,861,34.1550
right60@090,862,35.2980
right60@090,863,33.4290
right60@090,864,32.2740
right60@090,865,33.7350
right60@090,866,34.0590
right60@090,867,33.5090
right60@090,868,34.9590
right60@090,869,34.0750
right60@090,870,33.6740
right60@090,871,34.2470
right60@090,872,34.4390
right60@090,873,34.7240
right60@090,874,34.9510
right60@090,875,34.7740
right60@090,876,34.3640
right60@090,877,35.1470
right60@090,878,35.1790
right60@090,879,33.7600
right60@090,880,32.4700
right60@090,881,35.6600
right60@090,882,31.2950
right60@090,883,33.8320
right60@090,884,33.1830
right60@090,885,35.0860
right60@090,886,33.0260
right60@090,887,33.7060
right60@090,888,35.0760
right60@090,889,33.0610
right60@090,890,33.6360
right60@090,891,33.6540
right60@090,892,34.8710
right60@090,893,33.7580
right60@090,894,30.6570
right60@090,895,34.5510
right60@090,896,33.3380
right60@090,897,32.5740
right60@090,898,34.1400
right60@090,899,32.0350
right60@090,900,34.8500
right60@090,901,33.7470
right60@090,902,34.3100
right60@090,903,34.8530
right60@090,904,35.3750
right60@090,905,33.6000
right60@090,906,33.5920
right60@090,907,33.3430
right60@090,908,32.0420
right60@090,909,33.7280
right60@090,910,33.0040
right60@090,911,32.8910
right60@090,912,32.4950
right60@090,913,34.0040
right60@090,914,34.2980
right60@090,915,32.5100
right60@090,916,32.5880
right60@090,917,34.2660
right60@090,918,35.8020
right60@090,919,34.3710
right60@090,920,32.2860
left90@090,921,-25.5020
left90@090,922,-28.4850
left90@090,923,-36.5300
left90@090,924,-36.0830
left90@090,925,-45.4230
left90@090,926,-46.6710
left90@090,927,-45.7510
left90@090,928,-24.8430
left90@090,929,-27.8790
left90@090,930,121.0970
left90@090,931,132.3900
left90@090,932,147.6140
left90@090,933,145.8020
left90@090,934,154.2810
left90@090,935,155.9700
left90@090,936,157.2510
left90@090,937,160.3080
left90@090,938,154.1170
left90@090,939,156.4960
left90@090,940,142.7790
left90@090,941,151.2890
left90@090,942,151.2690
left90@090,943,169.8050
left90@090,944,140.6030
left90@090,945,132.7960
left90@090,946,135.7770
left90@090,947,139.1270
left90@090,948,129.3960
left90@090,949,-141.5200
left90@090,950,-159.5650
left90@090,951,-169.5740
left90@090,952,-158.1670
left90@090,953,-139.6350
left90@090,954,-142.2250
left90@090,955,-158.7100
left90@090,956,-161.1870
left90@090,957,-160.7490
left90@090,958,-147.0260
left90@090,959,-171.6050
left90@090,960,-163.9180
left90@090,961,-152.8430
left90@090,962,-155.6790
left90@090,963,177.1340
left90@090,964,-174.2250
left90@090,965,-175.1950
left90@090,966,-151.8420
left90@090,967,-156.4660
left90@090,968,-163.9470
left90@090,969,-153.6340
left90@090,970,-167.0000
left90@090,971,-140.3970
left90@090,972,-140.1300
left90@090,973,-147.2720
left90@090,974,-154.3370
left90@090,975,-155.0850
left90@090,976,-156.9060
left90@090,977,-150.8710
left90@090,978,-147.0890
left90@090,979,-159.6580
left90@090,980,-156.5500
left90@090,981,-150.4790
left90@090,982,-147.5380
left90@090,983,-153.4580
left90@090,984,-150.9620
left90@090,985,-167.2790
left90@090,986,-163.4770
left90@090,987,-162.9980
left90@090,988,-163.9000
left90@090,989,-167.9500
left90@090,990,-167.3430
left90@090,991,-162.7120
left90@090,992,-151.9460
left90@090,993,-160.6530
left90@090,994,-153.8250
left90@090,995,-156.1280
left90@090,996,-164.8510
left90@090,997,-150.4880
left90@090,998,-146.1630
left90@090,999,-147.5950
left90@090,1000,-147.1780
left90@090,1001,-156.3100
left90@090,1002,-159.3150
left90@090,1003,-156.1400
left90@090,1004,-150.7650
left90@090,1005,-161.3480
left90@090,1006,-153.1140
left90@090,1007,-144.9520
left90@090,1008,-175.5740
left90@090,1009,-165.2140
left90@090,1010,-156.1190
left90@090,1011,-153.2820
left90@090,1012,-164.8720
left90@090,1013,-161.3780
left90@090,1014,-169.4780
left90@090,1015,-160.8270
left90@090,1016,-165.6550
left90@090,1017,-160.6270
left90@090,1018,-158.4060
left90@090,1019,-162.8360
left90@090,1020,-149.9370
left90@090,1021,-172.9790
left90@090,1022,-160.4690
left90@090,1023,-163.6870
left90@090,1024,-172.6190
left90@090,1025,-165.4210
left90@090,1026,-165.5960
left90@090,1027,-151.4740
left90@090,1028,-145.4210
left90@090,1029,-157.9020
left90@090,1030,-142.8320
left90@090,1031,-152.4590
left90@090,1032,-148.7570
left90@090,1033,-154.1160
left90@090,1034,-172.2500
left90@090,1035,-154.0350
left90@090,1036,-164.9050
left90@090,1037,-172.4190
left90@090,1038,-164.7040
left90@090,1039,-169.2920
left90@090,1040,-166.3350
left90@090,1041,-165.5950
left90@090,1042,-178.1750
left90@090,1043,-159.9320
left90@090,1044,-167.2850
left90@090,1045,-177.2440
left90@090,1046,-170.3800
left90@090,1047,-139.0480
left90@090,1048,-158.1430
left90@090,1049,-164.5400
left90@090,1050,-151.6310
left90@090,1051,-139.7090
left90@090,1052,-174.3910
left90@090,1053,-162.8340
left90@090,1054,-158.3800
left90@090,1055,-153.0520
right90@090,1056,-172.9410
right90@090,1057,-159.3320
right90@090,1058,-170.1380
right90@090,1059,-177.2370
right90@090,1060,-150.9500
right90@090,1061,-147.2670
right90@090,1062,-150.6670
right90@090,1063,-162.3960
right90@090,1064,-158.4450
right90@090,1065,-155.5770
right90@090,1066,-143.2710
right90@090,1067,-149.5660
right90@090,1068,-142.5710
right90@090,1069,-172.7600
right90@090,1070,-144.2080
right90@090,1071,-162.3380
right90@090,1072,-164.7560
right90@090,1073,-171.8050
right90@090,1074,-171.8070
right90@090,1075,-141.6210
right90@090,1076,-174.3830
right90@090,1077,-169.9360
right90@090,1078,-150.0600
right90@090,1079,-137.7820
right90@090,1080,-144.9610
